Cause,DAVIDSON_Total_Rank,DAVIDSON_Total_Number,DAVIDSON_Total_Rate,DAVIDSON_Total_Age_Adjusted_Rate,DAVIDSON_Male_Rank,DAVIDSON_Male_Number,DAVIDSON_Male_Rate,DAVIDSON_Male_Age_Adjusted_Rate,DAVIDSON_Female_Rank,DAVIDSON_Female_Number,DAVIDSON_Female_Rate,DAVIDSON_Female_Age_Adjusted_Rate,Region,EAST_Total_Rank,EAST_Total_Number,EAST_Total_Rate,EAST_Total_Age_Adjusted_Rate,EAST_Male_Rank,EAST_Male_Number,EAST_Male_Rate,EAST_Male_Age_Adjusted_Rate,EAST_Female_Rank,EAST_Female_Number,EAST_Female_Rate,EAST_Female_Age_Adjusted_Rate,HAMILTON_Total_Rank,HAMILTON_Total_Number,HAMILTON_Total_Rate,HAMILTON_Total_Age_Adjusted_Rate,HAMILTON_Male_Rank,HAMILTON_Male_Number,HAMILTON_Male_Rate,HAMILTON_Male_Age_Adjusted_Rate,HAMILTON_Female_Rank,HAMILTON_Female_Number,HAMILTON_Female_Rate,HAMILTON_Female_Age_Adjusted_Rate,KNOX_Total_Rank,KNOX_Total_Number,KNOX_Total_Rate,KNOX_Total_Age_Adjusted_Rate,KNOX_Male_Rank,KNOX_Male_Number,KNOX_Male_Rate,KNOX_Male_Age_Adjusted_Rate,KNOX_Female_Rank,KNOX_Female_Number,KNOX_Female_Rate,KNOX_Female_Age_Adjusted_Rate,MADISON_Total_Rank,MADISON_Total_Number,MADISON_Total_Rate,MADISON_Total_Age_Adjusted_Rate,MADISON_Male_Rank,MADISON_Male_Number,MADISON_Male_Rate,MADISON_Male_Age_Adjusted_Rate,MADISON_Female_Rank,MADISON_Female_Number,MADISON_Female_Rate,MADISON_Female_Age_Adjusted_Rate,MID-CUMBERLAND_Total_Rank,MID-CUMBERLAND_Total_Number,MID-CUMBERLAND_Total_Rate,MID-CUMBERLAND_Total_Age_Adjusted_Rate,MID-CUMBERLAND_Male_Rank,MID-CUMBERLAND_Male_Number,MID-CUMBERLAND_Male_Rate,MID-CUMBERLAND_Male_Age_Adjusted_Rate,MID-CUMBERLAND_Female_Rank,MID-CUMBERLAND_Female_Number,MID-CUMBERLAND_Female_Rate,MID-CUMBERLAND_Female_Age_Adjusted_Rate,NORTHEAST_Total_Rank,NORTHEAST_Total_Number,NORTHEAST_Total_Rate,NORTHEAST_Total_Age_Adjusted_Rate,NORTHEAST_Male_Rank,NORTHEAST_Male_Number,NORTHEAST_Male_Rate,NORTHEAST_Male_Age_Adjusted_Rate,NORTHEAST_Female_Rank,NORTHEAST_Female_Number,NORTHEAST_Female_Rate,NORTHEAST_Female_Age_Adjusted_Rate,SHELBY_Total_Rank,SHELBY_Total_Number,SHELBY_Total_Rate,SHELBY_Total_Age_Adjusted_Rate,SHELBY_Male_Rank,SHELBY_Male_Number,SHELBY_Male_Rate,SHELBY_Male_Age_Adjusted_Rate,SHELBY_Female_Rank,SHELBY_Female_Number,SHELBY_Female_Rate,SHELBY_Female_Age_Adjusted_Rate,SOUTH CENTRAL_Total_Rank,SOUTH CENTRAL_Total_Number,SOUTH CENTRAL_Total_Rate,SOUTH CENTRAL_Total_Age_Adjusted_Rate,SOUTH CENTRAL_Male_Rank,SOUTH CENTRAL_Male_Number,SOUTH CENTRAL_Male_Rate,SOUTH CENTRAL_Male_Age_Adjusted_Rate,SOUTH CENTRAL_Female_Rank,SOUTH CENTRAL_Female_Number,SOUTH CENTRAL_Female_Rate,SOUTH CENTRAL_Female_Age_Adjusted_Rate,SOUTHEAST_Total_Rank,SOUTHEAST_Total_Number,SOUTHEAST_Total_Rate,SOUTHEAST_Total_Age_Adjusted_Rate,SOUTHEAST_Male_Rank,SOUTHEAST_Male_Number,SOUTHEAST_Male_Rate,SOUTHEAST_Male_Age_Adjusted_Rate,SOUTHEAST_Female_Rank,SOUTHEAST_Female_Number,SOUTHEAST_Female_Rate,SOUTHEAST_Female_Age_Adjusted_Rate,SULLIVAN_Total_Rank,SULLIVAN_Total_Number,SULLIVAN_Total_Rate,SULLIVAN_Total_Age_Adjusted_Rate,SULLIVAN_Male_Rank,SULLIVAN_Male_Number,SULLIVAN_Male_Rate,SULLIVAN_Male_Age_Adjusted_Rate,SULLIVAN_Female_Rank,SULLIVAN_Female_Number,SULLIVAN_Female_Rate,SULLIVAN_Female_Age_Adjusted_Rate,UPPER CUMBERLAND_Total_Rank,UPPER CUMBERLAND_Total_Number,UPPER CUMBERLAND_Total_Rate,UPPER CUMBERLAND_Total_Age_Adjusted_Rate,UPPER CUMBERLAND_Male_Rank,UPPER CUMBERLAND_Male_Number,UPPER CUMBERLAND_Male_Rate,UPPER CUMBERLAND_Male_Age_Adjusted_Rate,UPPER CUMBERLAND_Female_Rank,UPPER CUMBERLAND_Female_Number,UPPER CUMBERLAND_Female_Rate,UPPER CUMBERLAND_Female_Age_Adjusted_Rate,WEST_Total_Rank,WEST_Total_Number,WEST_Total_Rate,WEST_Total_Age_Adjusted_Rate,WEST_Male_Rank,WEST_Male_Number,WEST_Male_Rate,WEST_Male_Age_Adjusted_Rate,WEST_Female_Rank,WEST_Female_Number,WEST_Female_Rate,WEST_Female_Age_Adjusted_Rate
MALIGNANT NEOPLASMS,,,,,,,,,,,,,SULLIVAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,451,284.822917192947,180.71629340204,2,238,308.866279069767,213.831981002209,2,213,262.03129613227,157.553287467279,,,,,,,,,,,,,,,,,,,,,,,,
CHRONIC LOWER RESPIRATORY DISEASES,,,,,,,,,,,,,SULLIVAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,127,80.2051230232911,48.9404929656518,4,50,64.8878737541528,46.3745506430746,3,77,94.724928648755,52.2983878072303,,,,,,,,,,,,,,,,,,,,,,,,
ACCIDENTS AND ADVERSE EFFECTS,,,,,,,,,,,,,SULLIVAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,101,63.7851765775779,52.4212154776752,3,64,83.0564784053156,74.7542782880611,6,37,45.5171735065446,31.3137479307203,,,,,,,,,,,,,,,,,,,,,,,,
CEREBROVASCULAR DISEASE,,,,,,,,,,,,,SULLIVAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,96,60.6274945687869,36.6108790120513,5,46,59.6968438538206,42.7379590825977,5,50,61.509693927763,33.4420502364094,,,,,,,,,,,,,,,,,,,,,,,,
ALZHEIMER'S DISEASE,,,,,,,,,,,,,SULLIVAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,79,49.8913757388976,29.9903406189429,9,20,25.9551495016611,18.5720273825276,4,59,72.5814388347604,37.1557406861566,,,,,,,,,,,,,,,,,,,,,,,,
DIABETES MELLITUS,,,,,,,,,,,,,SULLIVAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,52,32.8398928914263,22.6751387064883,8,21,27.2529069767442,21.4022647639593,7,31,38.1360102352131,23.6529011544595,,,,,,,,,,,,,,,,,,,,,,,,
PNEUMONIA AND INFLUENZA,,,,,,,,,,,,,SULLIVAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,52,32.8398928914263,20.8217379724846,6,28,36.3372093023256,26.1488120110786,8,24,29.5246530853262,16.0829161662463,,,,,,,,,,,,,,,,,,,,,,,,
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",,,,,,,,,,,,,SULLIVAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,39,24.6299196685697,14.953704148131,11,16,20.7641196013289,14.3216600743992,9,23,28.294459206771,15.1042409334965,,,,,,,,,,,,,,,,,,,,,,,,
SUICIDE,,,,,,,,,,,,,SULLIVAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,38,23.9983832668115,21.788216262821,7,*,*,*,10,*,*,*,,,,,,,,,,,,,,,,,,,,,,,,
CHRONIC LIVER DISEASE AND CIRRHOSIS,,,,,,,,,,,,,SULLIVAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,29,18.3145556509877,13.4532479238153,10,18,23.359634551495,17.4612751148529,12,11,13.5321326641079,10.0666112957937,,,,,,,,,,,,,,,,,,,,,,,,
SEPTICEMIA,,,,,,,,,,,,,SULLIVAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,24,15.1568736421967,10.5185160937839,13,*,*,*,10,*,*,*,,,,,,,,,,,,,,,,,,,,,,,,
DISEASES OF HEART,,,,,,,,,,,,,UPPER CUMBERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1012,280.836515407157,194.386301787551,1,558,313.331761059263,236.62572186747,1,454,249.086499950622,157.194933097294,,,,,,,,,,,,
MALIGNANT NEOPLASMS,,,,,,,,,,,,,UPPER CUMBERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,948,263.076103365598,173.976337867608,2,545,306.031917163618,217.400826028413,2,403,221.10541735705,137.442184357295,,,,,,,,,,,,
CHRONIC LOWER RESPIRATORY DISEASES,,,,,,,,,,,,,UPPER CUMBERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,318,88.2470473314981,56.9865042145772,4,155,87.0366002942399,60.5413439315434,4,163,89.4297345637694,54.415052635888,,,,,,,,,,,,
ACCIDENTS AND ADVERSE EFFECTS,,,,,,,,,,,,,UPPER CUMBERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,265,73.5392061095817,68.9488708275671,3,169,94.897970643397,91.7825784349491,6,96,52.6702731173121,46.7989460430376,,,,,,,,,,,,
CEREBROVASCULAR DISEASE,,,,,,,,,,,,,UPPER CUMBERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,234,64.9365065269514,44.1411824778686,5,111,62.329436339746,49.0135393682229,5,123,67.4837874315561,40.5944782831654,,,,,,,,,,,,
ALZHEIMER'S DISEASE,,,,,,,,,,,,,UPPER CUMBERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,231,64.1039872125033,45.360248488935,7,66,37.0607459317408,30.2474869457947,3,165,90.5270319203801,54.8333278250763,,,,,,,,,,,,
DIABETES MELLITUS,,,,,,,,,,,,,UPPER CUMBERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,149,41.3484592842554,29.655112692377,6,82,46.0451691879204,35.2523906309461,7,67,36.7594614464574,24.6991191169219,,,,,,,,,,,,
PNEUMONIA AND INFLUENZA,,,,,,,,,,,,,UPPER CUMBERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,96,26.640618062339,17.9470697874111,10,48,26.9532697685388,20.5225314646058,8,48,26.335136558656,15.9589182881825,,,,,,,,,,,,
CHRONIC LIVER DISEASE AND CIRRHOSIS,,,,,,,,,,,,,UPPER CUMBERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,81,22.4780214900986,17.192360366912,8,62,34.8146401176959,27.5120085872493,11,19,10.4243248878013,7.51188526965954,,,,,,,,,,,,
SUICIDE,,,,,,,,,,,,,UPPER CUMBERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,80,22.2005150519492,20.5915781683075,8,62,34.8146401176959,31.9587563653294,14,18,9.87567620949601,10.1216842193642,,,,,,,,,,,,
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",,,,,,,,,,,,,UPPER CUMBERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,79,21.9230086137998,15.7626389750913,11,38,21.3380052334265,17.311713215184,9,41,22.4945958105187,14.2639211688026,,,,,,,,,,,,
HYPERTENSION AND RENAL DISEASE,,,,,,,,,,,,,UPPER CUMBERLAND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,46,12.7652961548708,8.69836268531239,14,24,13.4766348842694,9.90866556703682,10,22,12.0702709227173,7.6597609125929,,,,,,,,,,,,
DISEASES OF HEART,,,,,,,,,,,,,WEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1812,344.229501532125,247.467249191364,1,985,379.715117287639,312.978648571821,1,827,309.751749142284,198.042655863756
MALIGNANT NEOPLASMS,,,,,,,,,,,,,WEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,1420,269.760426145484,188.417404844588,2,761,293.363659143039,224.922110637648,2,659,246.827572774806,161.906718675855
CHRONIC LOWER RESPIRATORY DISEASES,,,,,,,,,,,,,WEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,457,86.8172639073848,59.9137543060721,4,213,82.1109847535707,65.3257617066846,3,244,91.3898752003835,57.0870249233933
CEREBROVASCULAR DISEASE,,,,,,,,,,,,,WEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,364,69.1498557161664,49.2772478498249,5,151,58.2101347314046,46.8891490524562,4,213,79.7788664659086,49.978956548321
ACCIDENTS AND ADVERSE EFFECTS,,,,,,,,,,,,,WEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,353,67.0601622741944,61.6037693951276,3,224,86.3514581446001,83.4165042702879,6,129,48.31677828217,40.9759151216539
ALZHEIMER'S DISEASE,,,,,,,,,,,,,WEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,260,49.392754082976,35.6605006429421,8,86,33.1527919662304,30.3901814952832,5,174,65.1714683806014,38.8866213568307
DIABETES MELLITUS,,,,,,,,,,,,,WEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,235,44.6434508057668,32.7299268444466,6,138,53.1986661783697,43.094351270188,7,97,36.331220878841,24.1214192470941
PNEUMONIA AND INFLUENZA,,,,,,,,,,,,,WEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,132,25.0763213036647,17.7449084143855,9,67,25.8283379271795,20.697150608825,8,65,24.345663475512,15.2699008358581
SUICIDE,,,,,,,,,,,,,WEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,112,21.2768786818974,19.8531902635582,7,88,33.9237871282358,32.2784218621634,15,24,8.98916805249674,8.51381151980483
"NEPHRITIS, NEPHROTIC SYNDROME, NEPHROSIS",,,,,,,,,,,,,WEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,97,18.4272967155718,13.2547664764525,11,48,18.5038838881286,14.8198254974051,9,49,18.3528847738475,11.5756671149538
CHRONIC LIVER DISEASE AND CIRRHOSIS,,,,,,,,,,,,,WEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,81,15.3877426181579,11.9299012623886,10,52,20.0458742121393,15.7207410730743,12,29,10.8619113967669,8.38387932958783
HYPERTENSION AND RENAL DISEASE,,,,,,,,,,,,,WEST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,80,15.1977704870695,10.6966603100402,15,33,12.7214201730884,10.0823208536963,10,47,17.6037874361395,10.7051618926149
